gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000000003.14	1212	4286	1431	2385	2547	1625	1384	1180	1252	2048	1213	2564	573	1589	2781	869
ENSG00000000005.5	4	10	3	13	21	0	12	6	32	4	19	0	11	0	6	0
ENSG00000000419.12	142	572	1044	1521	875	1631	901	979	895	965	809	818	920	1318	807	805
ENSG00000000457.13	211	588	530	366	554	462	453	241	393	595	489	545	429	597	504	368
ENSG00000000460.16	64	163	157	370	196	385	117	353	125	149	148	156	144	234	121	130
ENSG00000000938.12	73	99	505	233	300	111	470	45	1264	108	334	111	360	88	277	88
ENSG00000000971.15	286	2197	2072	2492	1636	95	1289	523	1176	2075	3209	7553	7399	3663	1149	6321
ENSG00000001036.13	599	2643	1630	2291	994	1307	1411	1312	996	902	1401	1392	1013	909	981	965
ENSG00000001084.10	2266	494	1194	565	5245	1013	942	1231	741	1397	823	812	700	587	1374	283
ENSG00000001167.14	120	922	498	416	699	451	244	327	596	1147	557	745	496	1029	673	303
ENSG00000001460.17	235	422	365	78	596	303	494	212	300	277	246	656	165	389	1013	368
ENSG00000001461.16	561	651	836	332	1251	859	811	473	651	1255	571	2100	312	1928	1336	1473
ENSG00000001497.16	1437	1478	1739	1763	1533	2274	1944	2548	1791	1137	1735	1388	1194	1282	1523	1021
ENSG00000001561.6	168	158	311	335	938	296	405	1421	295	714	185	605	436	853	774	204
ENSG00000001617.11	1097	219	1278	1869	1392	3250	1678	943	604	1089	332	1970	549	1622	1870	790
ENSG00000001626.14	81	10	399	1873	124	29	110	0	88	20	6	149	1	2066	994	39
ENSG00000001629.9	149	1625	866	736	1433	723	499	405	948	1410	1683	1437	1126	1921	1040	539
ENSG00000001630.15	0	23	12	0	15	7	3	2	10	10	14	27	9	20	30	0
ENSG00000001631.15	102	893	696	486	1147	605	356	166	741	846	1102	1076	1057	1916	966	319
ENSG00000002016.17	177	742	586	295	568	388	317	177	388	522	648	695	401	655	584	279
ENSG00000002079.12	0	16	1	1	3	0	0	2	4	5	2	11	1	3	2	0
ENSG00000002330.13	1801	595	1273	900	450	966	1794	2595	807	432	762	569	400	451	638	2387
ENSG00000002549.12	659	1405	2302	3540	1969	3708	2047	1204	1944	2866	1343	1467	2099	1178	2176	1652
ENSG00000002586.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002586.18_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	65	620	287	48	225	80	317	734	177	353	210	626	446	126	161	174
ENSG00000002726.20	65	6537	13	0	18	12	8	4	15	333	0	7	19	222	0	1
ENSG00000002745.12	0	0	0	1	7	2	3	0	1	5	4	2	4	0	1	0
ENSG00000002746.14	5	91	5	10	41	74	0	0	2	141	1	73	0	15	9	14
ENSG00000002822.15	591	295	621	522	301	879	792	2058	418	277	397	433	278	584	372	714
ENSG00000002834.17	1486	3272	4616	2527	3757	2635	4065	2935	4056	2983	4070	4704	4179	5285	3273	4531
ENSG00000002919.14	210	471	597	370	360	344	602	649	465	227	543	404	487	297	299	527
ENSG00000002933.7	440	581	2583	73	677	226	2228	4286	1527	291	1089	514	2306	931	549	3145
ENSG00000003056.7	1167	2218	3848	5605	2883	3620	2800	1563	2802	2492	2618	3387	2510	3060	3261	3027
ENSG00000003096.13	141	302	352	8	556	107	233	43	358	118	886	159	404	155	456	23
ENSG00000003137.8	5	19	260	2	156	11	80	59	216	138	54	15	290	9	91	31
ENSG00000003147.17	608	671	995	1535	821	1679	868	3436	530	599	242	837	400	1482	940	984
ENSG00000003249.13	113	279	239	314	193	723	254	290	138	258	22	242	37	268	173	431
ENSG00000003393.14	249	724	786	431	1008	995	516	424	629	804	948	921	871	902	1013	677
ENSG00000003400.14	228	283	625	671	740	380	474	192	622	1031	436	555	622	263	752	408
ENSG00000003402.19	1136	2483	4029	1771	6282	3217	2931	1513	4186	3918	6009	2965	5801	3350	4883	1758
ENSG00000003436.14	570	1613	2088	70	1421	29	1629	217	1595	301	1647	242	3883	99	809	1052
ENSG00000003509.15	124	611	541	612	468	471	374	274	306	374	540	507	433	442	410	379
ENSG00000003756.16	2879	6453	7133	2731	6632	5678	5416	3448	5244	5886	8018	5836	4202	6630	6030	4340
ENSG00000003987.13	4	110	14	11	33	19	32	137	16	25	45	56	2	141	14	41
ENSG00000003989.16	1959	7680	2694	452	4477	410	3868	1342	1652	6239	2244	13256	1244	41897	6322	993
ENSG00000004059.10	843	1357	2146	3332	1253	3143	1979	1728	1434	1126	1567	1334	930	1892	1399	3419
ENSG00000004139.13	654	789	1322	501	1092	1106	893	794	1116	680	910	1177	809	1524	1170	1122
ENSG00000004142.11	935	2102	2288	3674	1344	2355	2119	2216	1636	1180	1756	2032	1372	1743	1519	2658
ENSG00000004399.12	1222	1486	4625	721	2883	1455	3749	4573	3801	1043	4504	2406	4247	1296	2364	2466
ENSG00000004455.16	1444	3852	3382	3956	2680	4435	3068	2618	2522	4625	2067	3599	1881	3656	2696	2694
ENSG00000004468.12	44	48	292	98	486	120	218	13	86	52	51	59	437	24	252	32
ENSG00000004478.7	2725	2665	3421	5665	2263	6151	3864	3999	2546	2934	1703	2122	1752	2733	2583	2172
ENSG00000004487.15	1889	3834	2653	2009	2487	5138	2468	3704	2303	2514	2166	3154	1496	2879	2226	3403
ENSG00000004534.14	2975	4868	7233	4047	7231	10009	7152	10048	5337	4555	8771	5351	4780	3461	6587	4887
ENSG00000004660.14	124	140	536	364	302	507	549	449	572	250	476	254	382	457	244	278
ENSG00000004700.15	267	671	1044	715	1023	638	708	663	731	514	1671	732	1409	845	817	675
ENSG00000004766.15	137	700	599	430	765	446	335	245	539	531	766	551	775	834	591	336
ENSG00000004776.11	3781	102	5884	283	3015	778	9566	1259	5681	234	4511	415	10589	64	2008	228
ENSG00000004777.18	333	752	919	259	652	458	1033	4872	976	465	724	551	380	136	862	542
ENSG00000004779.9	1959	690	1515	3579	691	1510	2134	3914	804	858	728	764	729	835	838	1311
ENSG00000004799.7	609	623	2131	413	5692	517	2331	2281	5153	2086	5721	1195	32065	642	4081	87
ENSG00000004809.13	1	23	3	0	14	28	8	49	3	0	23	6	3	1	2	0
ENSG00000004838.13	4924	45	1297	41	2015	1067	4009	203	324	302	70	2284	64	261	5024	30
ENSG00000004846.16	2	11	9	2	24	13	3	2	21	1	238	2	20	2	8	9
ENSG00000004848.7	3	770	5	0	35	5	39	278	10	329	1	405	140	75	15	4
ENSG00000004864.13	300	1241	688	1187	839	897	529	500	498	825	386	914	450	1209	694	710
ENSG00000004866.19	461	532	914	1678	851	1139	733	495	950	644	715	603	770	650	604	364
ENSG00000004897.11	315	1583	1358	570	1401	624	880	714	1186	859	1668	1728	1640	1966	1304	1054
ENSG00000004939.13	3	6	5	2	7	2	3	10	6	3	65	2	4	1	0	2
ENSG00000004948.13	0	33	1	6	2	2	0	0	3	3	0	2	17	7	1	2
ENSG00000004961.14	138	355	372	686	382	825	418	952	268	443	246	392	351	256	424	309
ENSG00000004975.11	496	1053	1421	1291	943	800	1068	920	1392	1658	1465	1158	855	1201	1052	1078
ENSG00000005001.9	69	907	293	263	166	89	257	103	132	797	0	723	14	819	655	48
ENSG00000005007.12	937	1871	2253	2005	1874	1551	1926	1982	1629	1891	2134	3107	1875	3128	2350	2111
ENSG00000005020.12	100	777	599	368	1016	310	546	589	515	258	387	463	1508	892	1113	1661
ENSG00000005022.5	1300	2995	4028	11980	3235	11809	5570	22442	2377	2690	3473	3796	2687	3666	2467	3934
ENSG00000005059.15	125	92	572	1138	400	725	330	230	512	370	507	438	475	294	346	898
ENSG00000005073.5	0	1	6	1	5	3	0	1	5	1	3	0	6	1	0	5
ENSG00000005075.15	1020	403	689	1275	338	1386	903	1277	428	389	382	316	316	408	338	751
ENSG00000005100.12	275	738	521	402	710	858	489	494	459	472	621	818	558	1126	622	392
ENSG00000005102.12	90	5	387	18	435	1169	430	100	266	2618	552	54	546	77	108	6
ENSG00000005108.15	50	1451	343	105	307	28	95	26	287	75	1283	152	311	131	236	7
ENSG00000005156.11	425	1404	1101	552	1242	926	959	649	834	778	1068	1163	833	1523	1358	650
ENSG00000005175.9	224	702	754	811	779	851	544	414	574	782	673	971	638	686	840	354
ENSG00000005187.11	896	2246	1563	964	613	163	918	823	702	1342	336	708	126	522	834	56
ENSG00000005189.19	272	235	163	272	236	182	195	507	123	67	178	162	80	62	193	95
ENSG00000005194.14	408	896	950	1539	588	1194	901	697	494	851	605	924	558	831	607	1136
ENSG00000005206.16	2007	1780	2218	692	1254	1073	2285	3651	1323	798	1235	1649	678	1253	1874	1338
ENSG00000005238.19	238	517	705	386	445	301	665	608	564	321	810	575	545	417	466	1496
ENSG00000005243.9	486	328	766	42	433	44	1015	442	546	132	1266	311	566	85	256	1408
ENSG00000005249.12	183	2303	456	326	823	223	329	147	863	923	1034	2356	989	1043	484	157
ENSG00000005302.17	238	1304	903	719	1037	793	754	707	618	740	1028	948	755	800	847	513
ENSG00000005339.14	693	2348	2260	1279	3056	1338	1422	827	2925	2314	3079	2655	2523	3233	2604	1078
ENSG00000005379.15	1298	2457	3819	680	2904	2844	2171	872	3868	2665	1954	3201	1382	3228	3630	1794
ENSG00000005381.7	4	22	15	7	10	36	27	232	17	21	8	29	13	1	2	2
ENSG00000005421.8	8	2	13	45	10	18	25	83	48	1286	11	6	0	0	8	33
ENSG00000005436.13	364	746	600	425	672	571	501	412	627	717	632	633	546	595	533	353
ENSG00000005448.16	2571	450	838	999	919	858	1787	832	373	353	172	1053	153	496	1663	1150
ENSG00000005469.11	152	631	518	311	698	217	341	78	442	324	473	454	419	337	589	763
ENSG00000005471.15	4	80	22	6	13	12	12	2	13	27	22	26	19	9	17	11
ENSG00000005483.20	332	1793	1739	1179	3239	1299	926	474	2173	2319	2498	2312	3016	5358	2236	662
ENSG00000005486.16	1682	1411	2023	1996	1337	3639	2674	4462	1629	2501	609	1718	740	1813	1879	2995
ENSG00000005513.9	14	13	74	6	16	4	55	80	31	3	48	24	46	55	33	7
ENSG00000005700.14	639	3234	1520	1279	1630	693	1017	1001	1245	894	1895	1829	1369	1862	1556	980
ENSG00000005801.16	257	945	853	632	739	964	487	582	537	947	290	923	338	1004	629	392
ENSG00000005810.17	259	1587	1417	433	1895	1232	808	430	1453	2317	1769	1430	1784	4292	1179	601
ENSG00000005812.10	315	888	1342	607	2414	1362	1021	519	1483	2150	2462	1609	3122	2119	1608	813
ENSG00000005844.17	112	187	663	61	491	286	565	53	516	99	119	153	313	91	545	195
ENSG00000005882.11	659	898	1789	1279	1334	2204	1586	1180	1902	2067	1400	769	1118	972	797	948
ENSG00000005884.17	1274	2163	4058	3065	2925	2404	3189	784	3123	25004	1722	11297	1448	10658	5546	20942
ENSG00000005889.15	265	1343	1227	608	1379	629	726	449	1271	1105	1918	1218	1219	1293	1243	662
ENSG00000005893.15	900	3974	2546	5813	3209	3534	2267	2181	2223	2497	3588	3512	2757	2895	2561	2460
ENSG00000005961.17	203	80	183	29	70	164	89	380	302	130	166	72	34	142	96	80
ENSG00000005981.12	0	1	6	10	2	4	13	12	10	101	6	11	8	1	11	34
ENSG00000006007.11	953	1326	1773	2706	1348	1825	1850	1686	1229	1330	2032	1681	1890	1435	1243	1634
ENSG00000006015.17	1748	377	923	540	240	351	1147	1033	478	267	377	347	199	234	278	923
ENSG00000006016.10	38	0	48	13	91	12	346	7	64	11	73	349	113	3892	98	246
ENSG00000006025.11	451	557	911	196	576	441	718	761	580	433	613	806	353	663	665	787
ENSG00000006042.11	1514	4182	3100	1812	1963	683	2783	1309	3037	1180	2733	2973	1045	536	1644	3441
ENSG00000006047.12	52	19	171	420	112	244	184	1743	212	343	266	34	15	194	111	51
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.13	384	410	1086	154	651	657	652	322	1552	337	544	642	612	717	796	712
ENSG00000006071.12	13	0	24	0	46	0	23	99	76	0	63	0	295	0	44	1
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.14	268	2027	363	999	307	774	681	3569	194	831	249	1385	79	1350	302	2808
ENSG00000006125.16	1828	4264	3948	1917	4622	2542	3459	3003	3561	2792	4651	6523	3661	5790	4583	4520
ENSG00000006128.11	0	0	34	45	14	0	11	0	69	41	7	1	96	4	13	0
ENSG00000006194.9	903	1178	1290	1522	1013	874	1348	882	1349	1130	1011	1087	909	902	1050	1000
ENSG00000006210.6	382	682	907	170	1136	273	853	800	2324	1009	1293	713	1536	1162	827	142
ENSG00000006282.20	1524	5979	3754	2053	1808	2549	2613	1359	3034	4405	2680	2518	1157	1351	1519	2783
ENSG00000006283.17	54	269	414	2	169	12	174	58	309	97	158	277	33	49	209	27
ENSG00000006327.13	86	1465	976	2338	269	416	1021	82	2900	1133	215	1370	973	1114	412	2761
ENSG00000006377.10	17	742	26	1	12	7	18	73	24	13	4	2	43	2	13	1
ENSG00000006432.15	85	559	169	162	262	206	129	485	66	132	14	279	15	730	206	325
ENSG00000006451.7	722	889	1439	2939	1365	2516	1189	1895	1031	1890	1617	1652	960	2717	1230	1370
ENSG00000006453.13	696	740	782	2474	950	1277	782	1101	336	1745	96	1346	102	2291	1384	1285
ENSG00000006459.10	104	721	618	231	1070	276	387	208	663	545	889	576	1038	1682	921	209
ENSG00000006468.13	25	883	305	19	140	28	103	178	209	218	361	1300	412	821	98	1077
ENSG00000006530.15	103	637	575	860	650	814	354	284	524	591	519	685	538	988	632	319
ENSG00000006534.15	876	1580	1440	3102	1403	505	2338	279	1016	3342	211	2035	315	1158	2529	1381
ENSG00000006555.10	132	194	287	326	314	591	204	199	180	632	7	349	16	445	337	222
ENSG00000006576.16	175	581	694	825	744	647	494	507	632	571	1370	679	802	726	549	482
ENSG00000006606.8	5	1	14	3	8	1	25	15	9	4	26	5	14	2	3	6
ENSG00000006607.13	202	1553	697	560	1170	1091	698	865	647	1587	880	830	882	640	1230	488
ENSG00000006611.15	114	1822	44	1	65	24	130	1416	32	31	1	1	182	0	106	157
ENSG00000006625.17	656	361	582	2221	431	1357	725	1497	266	512	294	455	234	670	478	1174
ENSG00000006634.7	66	183	275	539	333	769	164	271	193	219	139	276	204	329	206	125
ENSG00000006638.11	35	11	102	40	84	19	163	179	130	27	129	20	407	9	60	59
ENSG00000006652.13	530	1245	1319	1970	1243	1111	1026	967	1764	999	1227	1163	2324	1351	1021	1117
ENSG00000006659.12	5	124	0	1	0	0	0	1	3	24	0	28	0	4	0	0
ENSG00000006695.10	134	225	311	243	241	381	274	338	234	180	248	319	269	360	272	258
ENSG00000006704.10	124	1040	702	907	407	830	383	445	588	1005	408	1072	240	3116	522	588
ENSG00000006712.14	1584	1474	1931	792	1096	844	2745	10858	1817	1933	1391	1491	1373	1128	1717	2214
ENSG00000006715.15	614	2879	1381	1583	1647	1239	1185	859	1189	1838	1794	2090	1297	2455	1293	1207
ENSG00000006740.16	245	590	1111	23	817	21	525	260	1279	92	732	428	440	343	1405	3073
ENSG00000006744.18	706	1694	1590	1199	1201	1581	1653	1263	1312	855	1377	1520	1222	1415	1478	1624
ENSG00000006747.14	137	1374	345	1005	541	133	280	207	108	100	91	143	41	131	806	96
ENSG00000006756.15	1560	3758	2523	1793	2293	1420	1943	484	1814	1729	1142	3160	647	3359	2714	2037
ENSG00000006757.11	447	600	715	189	612	623	670	708	555	612	484	711	299	851	740	1006
ENSG00000006788.12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6
ENSG00000006831.9	347	1453	1818	1578	1729	1687	1215	924	1728	1516	2092	1254	1544	1254	1272	1094
ENSG00000006837.11	15	35	25	25	25	20	33	21	24	26	36	54	11	19	32	26
ENSG00000007001.12	4	32	8	2	4	10	8	0	12	27	6	7	0	11	7	6
ENSG00000007038.10	202	3	88	325	117	917	329	15	37	630	2	433	9	293	67	46
ENSG00000007047.14	214	1187	766	257	498	486	687	600	743	481	782	701	691	732	552	741
ENSG00000007062.11	475	12580	197	111	593	424	493	1020	70	799	7	943	22	13	1112	4
ENSG00000007080.10	1205	541	1174	1637	369	964	1570	2716	697	370	635	537	559	477	583	1227
ENSG00000007129.17	55	29	42	18	44	18	89	23	26	17	13	15	41	16	30	29
ENSG00000007168.12	1120	3257	3669	1273	4509	1622	3211	1792	4141	2102	6477	3811	4662	4024	3402	2913
ENSG00000007171.16	2	38	36	1	30	2	12	16	60	21	16	15	14	0	15	4
ENSG00000007174.17	1266	214	803	1	3468	37	1336	12	230	78	61	1688	40	309	6025	40
ENSG00000007202.14	1177	4335	3738	4663	4070	3053	3112	3785	2744	3741	3840	4223	3844	5433	4568	3341
ENSG00000007216.14	4	2	2	46	0	1	1	1	0	4	0	0	0	0	1	0
ENSG00000007237.18	384	409	1935	56	2362	213	1290	182	1711	387	4826	2048	4186	1557	1738	889
ENSG00000007255.10	1265	535	685	423	245	583	986	509	346	301	211	317	146	310	341	756
ENSG00000007264.14	242	19	306	24	90	264	259	883	139	46	19	24	28	119	135	67
ENSG00000007306.14	2	127	0	0	7	1	0	0	2	0	0	0	0	0	0	0
ENSG00000007312.12	83	5	244	33	73	155	249	70	127	21	114	11	88	3	60	19
ENSG00000007314.11	1	6	15	5	14	8	12	40	5	7	23	11	32	2	4	0
ENSG00000007341.18	349	490	528	275	550	789	498	438	452	499	547	628	535	506	367	333
ENSG00000007350.16	1	0	28	0	941	5080	32	19	9	1	4	0	15	0	2	0
ENSG00000007372.20	1	92	1	15	0	1	4	63	3	1	1	1	0	2	1	0
ENSG00000007376.7	374	429	506	1214	218	1046	521	525	256	227	179	338	144	406	259	582
ENSG00000007384.15	240	1484	1474	347	875	272	1013	336	1396	777	1326	1293	892	1289	723	1004
ENSG00000007392.16	1666	3750	4103	2258	2670	2297	3479	2773	2804	2143	3908	3172	2246	3396	2588	2946
ENSG00000007402.11	25	81	117	37	89	53	91	478	191	710	130	88	187	188	78	75
ENSG00000007516.13	2266	435	757	333	2021	357	2816	349	314	353	50	1753	42	1089	5446	12
