gene	7f9031da-124a-4a38-83e6-878a50e58c24	34f545ab-d420-4dd2-8db4-3159896efd23	56a30462-2819-4c18-95be-8e73880a4921	ed21615c-0de3-421c-9e8d-8996026c4431	2a924999-1fbf-470a-97bd-fd2276a9a366	565d06a1-3640-4274-8fb3-8cad7e578876	f58e49fc-9641-4b46-be4c-766445ec70a3	5c159ab5-8475-4d93-89b8-b6befed4a5b3	1fe19c6b-71d0-4b07-923b-74ea32210db0	378f7ea2-86b4-4072-80b8-e12d67193106	2ebb738c-4829-4720-931a-96c0fd117e2a	15f1a992-0724-4d76-a71a-702ac7753a41	a36a4440-15ef-4837-904b-380a964d16f1	a782352e-c4bb-4c3e-ba82-456a47c3689a	bc4bc342-20bf-40c3-af26-2c6f942da93d	67f526f1-def5-43b4-bc89-154baae190fc	0f4a4ad1-e394-45c4-9aa9-aadf2bff0628	602e2934-223a-44db-8c33-06eb05d72f94	60014a6e-6a13-4f92-bbfd-eeeee9632f98	93095c36-2263-438f-a619-a4a4d6ae13c7	0d23fa5b-95f8-4626-a4d2-c72ad3cc553b	0740321b-f8a5-4e1d-b390-ca6187598fac	6d10d4ee-6331-4bba-93bc-a7b64cc0b22a	7413c891-f74e-456f-bc70-69c83fb53c70	3ac45a71-c463-4f0f-b030-58c475a34418	afd92922-b8dc-48bd-a9c0-bc8d95855eb7	42ebd30b-175e-4ece-a806-e55cb7e40e96	8cad4217-5699-4735-9be3-fc0015a8d262	55153632-1673-487a-85c0-f156377db1fc	20cf00ea-d7da-42bb-bce7-f005f0b952eb	b923ac70-70ea-4a82-8466-46350c5803bf	a9abe7a7-4126-414b-87d2-a6d25abcf1fa	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	0e475b3d-be3c-431a-ab12-5a867ea8f6cd	14c58def-60ee-48e0-a74b-da4eb77ef344	b520aae5-65a6-4b27-bc2a-10b02c7b1aeb	d7b3156d-672a-4a55-868d-9ca6a09fcb0f	872d2922-7292-4681-adb7-d3b267eccbe7	390eed6b-50af-48a9-9fd6-3a68a2bbb7f9	ef57bc45-858f-4d4e-8407-b7eadfa43be5	2ab32e11-80d6-4ed0-a42e-da612219bbdd	f4d95c8e-fb84-46ca-acc0-827015cc9d0a	82093ed9-a3c8-4e34-931f-4ec7ae745711	a9d3a7b0-faf8-4e56-8600-d9e6882a4f23	cbe3309e-9b7b-4f62-87b5-0f5ed4218ada	644a88a7-dc56-468a-af5c-60278aab7642	47681e4b-01e8-4779-b966-ce57aff4b712	80f85c54-e12f-4afa-8fa5-5f3e083b6f95	756f6768-e69a-4fe9-aa41-7c58aabe4577	7e34d3c1-1fab-4326-9a69-4260d2bac558	b8023162-5e82-40e6-ad8c-8acf81821f01	e978a457-92ff-4eab-b759-ec6e74d973e8	c183d3fb-2eee-44f8-890e-b9bf907141e6	27920e1e-b9ab-4587-970a-0cba7025becb	70fe08bd-a0b4-4a88-b82e-813b176f8e40	5d1a54fe-e0df-4c17-b623-b649a136dc82	05019013-7ea5-4905-ac79-901146ba2ee2	28ed2d42-5b4c-4bca-b2b2-6b2a6d3c42cf	5495b18a-10ec-427b-83b8-03ef4b587b13	fbb45305-de8d-4baf-8bd0-047b29c2e9d9	0d5e232d-5aa2-4f6f-be58-ffd5f15ee0b8	f2dcf4cc-609d-4532-a90d-6ae2bbb53365	49d2c0cf-a3f3-4519-a755-0a5f769df2ea	7248cd60-be22-44bc-bc58-f644db0940a2	23771dab-2aab-4d2b-95e2-9af7092cee6b	4e6f88de-7624-4719-8234-4c9e5b2e2988	33dc48d8-2e01-482b-944c-ac10da727ec9	ea605be2-6578-4e01-8ec3-bbd84c0b7f1d	206ce0ed-36a4-47ab-ac8e-f6fca6ac5c18	6264e699-d40b-4ebc-b443-0a0edcb220dc	2cb50c2d-e749-4172-b101-d975507435c5	561968ce-da9a-4d69-8bc2-bc87b9550f93	3768d34f-1527-40db-b116-cd80cee5ec3a	611600a6-43ec-4029-9682-cd6d6a3312ec	b46263ab-c3ca-4fda-a895-74c7e6e6fe22	15170c7f-5880-4fb6-82ce-68d3df0dfb68	de548bdd-14ca-486b-bd16-a6fbdd5b50d2	20c6be4d-7baf-4ea0-93e2-a5212f2e9b9c	460616ec-f66f-483b-88c1-757edd86261d	9bbc01b4-056c-4ddc-aca4-ff20718646d0	16ced1b8-64d5-4498-82df-4d37bfe5b310	f64ebc7f-0e5a-42b4-af57-6cdb90d24f90	f5033d52-ec36-4e67-88d8-b6d898b81b2f	46395c3d-5e51-477f-946e-e58b87cc7baa	13f5814c-1f99-4ffa-84a4-3bbd8979faae	700e91bb-d675-41b2-bbbd-935767c7b447	774ce281-96b2-467a-9170-079797ee10f7	d3dd5e69-9752-4b50-9b1f-814afbc2c3dd	66face4a-f35c-4364-90e5-8f28e6372606	ad2b1a0a-153f-483d-b228-5763eba3f6cc	8449955f-42d9-46f6-919a-5cc5d59e6284	65435f50-a35d-49e3-a36e-b95d9e274ca0	63a75e0b-9241-4f0e-9236-01a2e2c05b7e	1e14f098-17b2-4f54-8e4f-e38088008df7	8628f1b2-3763-4ba9-a375-083874bb18f2	07fbdb3c-8337-4319-8255-f2363f8a031e	32960bc7-839a-42c5-9460-3917fa578ffc	3fc8f799-5bd3-4f48-baf0-c458ce86ab7e	3491d67a-4f83-4f67-8085-bbb9fe942be5
ENSG00000000003	2126	2468	3633	6072	1333	3037	2221	4852	1470	2065	3410	5643	6505	4420	3518	6168	4767	5194	5373	1144	3071	6830	7151	7594	2080	3979	27429	2567	8208	5714	1432	2211	1306	5510	3787	4968	8822	5425	6073	6696	6376	9902	5352	2888	6781	5515	2671	5291	6273	2805	6136	4379	2385	3988	1955	4072	3596	1888	14767	3149	2967	13846	3707	5409	14250	6285	2599	4152	1965	4576	8746	4871	2174	4600	2593	3824	4188	4243	3505	4923	4104	4620	10255	6883	3721	3490	4381	7989	2292	6169	3683	9600	2699	1045	4459	10950	2864	4482	2318
ENSG00000000005	36	1	4	8	5	3	1	5	7	2	1309	2	9	0	3	2	0	0	8	1	2	53	10	6	0	2	25	0	49	4	3	5	23	4	13	5	26	4	71	12	3	2	0	28	1	6	4	5	1	2	8	0	0	4	0	2	4	12	11	0	1	11	1	1	16	6	1	2	14	5	7	47	0	41	12	6	2	1	3	8	61	6	1	2	0	0	1	9	2	4	11	13	12	6	4	12	2	0	5
ENSG00000000419	1540	1258	4571	1998	2035	1392	2849	2532	3133	2897	3076	2544	4191	4038	3989	2002	2816	2610	3343	2004	1399	1374	3257	3590	2998	3234	5416	3057	3953	4385	1195	2020	1333	4288	6099	4207	3896	3283	2231	3092	3292	4074	3012	2388	3090	5939	1026	5734	2010	804	2954	3709	1504	3646	2676	4473	3645	2285	6354	2190	2923	6866	2531	4571	6794	2334	3679	2862	4023	3514	5091	3061	1158	3369	1299	4195	2913	2442	6368	3882	3280	4342	3831	4050	1716	1753	5576	3052	2822	2248	1665	4016	2157	390	3231	4700	2923	1743	1850
ENSG00000000457	485	1072	682	1196	374	477	695	1124	842	416	420	764	1394	978	987	544	413	1477	1164	320	759	267	1317	1410	1010	1224	1390	272	1839	1486	348	452	287	910	381	1570	1043	647	979	1103	2150	950	1131	841	1491	1066	547	862	1299	273	1194	660	1195	392	286	1237	451	749	1393	287	620	699	1135	803	1855	865	1201	629	561	711	1364	567	835	826	444	676	994	469	1306	1029	1348	1226	1063	1686	730	606	644	860	726	1067	725	1397	312	220	1697	1409	760	1062	825
ENSG00000000460	348	261	411	340	424	526	448	732	353	375	466	318	567	724	821	444	253	1039	919	155	201	316	898	634	726	691	1104	170	686	991	83	181	183	840	369	1348	1260	722	531	819	1081	1052	715	588	1159	700	290	643	466	151	740	697	659	232	180	887	591	488	1898	392	467	851	961	597	1119	559	930	488	329	542	1212	388	150	501	354	619	476	454	571	376	1187	764	813	1533	176	601	109	1033	604	872	409	646	242	117	966	784	204	567	389
ENSG00000000938	98	129	395	199	341	389	386	533	160	96	124	275	225	477	150	502	49	580	424	113	94	48	188	1055	313	2417	223	1135	300	260	157	154	254	466	187	587	558	221	54	369	117	192	201	2114	266	345	352	38	314	326	127	282	72	143	1022	188	422	501	526	328	155	98	465	69	2572	273	989	358	85	196	114	219	155	272	232	422	408	968	811	265	281	310	402	531	70	321	656	77	302	601	182	232	150	88	140	411	279	204	355
ENSG00000000971	5969	605	1555	2561	357	1815	1604	4045	1559	2825	622	1263	699	2536	3880	2130	118	1760	987	1046	7588	1684	3931	727	522	515	271	1627	17407	3391	701	408	649	4026	1221	4437	1050	1694	745	1719	6184	2800	1751	4795	1868	2419	1269	185	10889	337	405	486	2455	1643	2895	6670	1758	1114	1068	2101	1144	521	3636	410	28514	3045	5201	2081	1363	1709	511	1818	11446	3051	3190	1669	3435	5042	1780	1429	1874	10177	4574	6666	1127	2333	137	865	2414	2812	4229	7007	875	747	6404	1501	764	3407	840
ENSG00000001036	4012	1123	2861	2847	1987	1525	2715	3441	2801	3254	2385	3259	2474	3301	3753	2793	2661	6012	3750	1425	1880	1363	5635	3310	1137	6163	8049	2272	2447	2298	1141	2658	1173	2667	4938	4690	3313	1704	2246	2687	3531	1915	1765	4146	3804	3575	1769	3105	4844	2282	5720	7065	3895	7329	2868	3331	3134	2343	5385	5112	5126	2387	3275	7209	6523	6538	3644	2598	1138	3507	6157	1323	1157	1555	1797	1865	2497	3830	3809	2793	5975	4393	5338	4102	2273	2379	2910	4336	4165	3822	1761	3563	1979	337	3762	4311	1217	2068	2676
ENSG00000001084	2604	575	1667	1492	1320	801	1782	2608	1044	796	455	2184	1191	2292	972	3414	1881	2390	1781	704	1649	290	898	2761	1016	2391	1663	814	3352	3619	531	724	1140	1884	870	1528	3427	1364	2378	2521	2194	1210	660	1775	1528	1171	1246	2693	1606	808	4457	1225	1294	2877	1106	1678	1441	1285	2573	1275	1546	2617	1188	1864	2901	1871	2161	1646	1251	1311	9925	1109	628	3109	516	1022	1840	1242	1885	896	1944	3021	2355	1173	1160	1240	626	1261	1445	2683	580	2609	848	318	2883	1118	665	2068	1125
ENSG00000001167	1765	1571	2324	1890	1256	1203	2162	1729	811	1565	912	2860	2281	2319	1766	1869	940	2448	1896	454	570	465	2439	2954	1285	1796	2830	656	1511	1921	409	716	664	2910	1067	1881	3912	1286	3967	3607	3093	2421	1163	3114	2199	1990	1275	2395	1617	415	3964	1502	1284	1438	1124	3202	856	1309	3835	1023	2146	2583	1945	3577	2535	1996	4374	1830	1427	1693	3433	1324	895	2249	796	1216	4863	1435	3132	1138	3274	4291	3068	2761	1426	1100	409	1395	2029	2226	675	3926	712	417	3807	2087	932	2126	1259
